2000人以上,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",不限,本科,数据分析经理,15k-25k,字节跳动,北京字节跳动科技有限公司
2000人以上,"技能培训,Geek,开放,扁平管理",3-5年,本科,资深数据分析师03-06-153,15k-25k,大搜车,杭州大搜车汽车服务有限公司
150-500人,"专业红娘牵线,节日礼物,技能培训,岗位晋升",5-10年,本科,数据分析专家,20k-30k,睿琪软件,杭州睿琪软件有限公司
50-150人,"开放式办公,扁平管理,带薪假期,弹性工作时间",5-10年,本科,数据分析专家,25k-50k,多准大数据,杭州多准数据技术有限公司
2000人以上,"技能培训,Geek,开放,扁平管理",5-10年,本科,高级/资深数据分析师,18k-35k,大搜车,杭州大搜车汽车服务有限公司
2000人以上,"节日礼物,技能培训,免费班车,带薪年假",3-5年,本科,资深数据分析师,20k-40k,网易,网易（杭州）网络有限公司
50-150人,"年底双薪,专项奖金,美女多,弹性工作",5-10年,本科,数据分析专家,25k-40k,接力棒,杭州接力棒科技有限公司
2000人以上,"五险一金,周末双休,全员mac,全额公积金",3-5年,本科,资深数据分析师(J10797),15k-25k,小电,北京伊电园网络科技有限公司
500-2000人,"技能培训,股票期权,绩效奖金,岗位晋升",5-10年,本科,数据分析专家-杭州-01765,25k-40k,同盾科技,同盾科技有限公司
500-2000人,"绩效奖金,股票期权,五险一金,午餐补助",5-10年,本科,00037-资深数据分析师/数据分析专家,20k-40k,云集,云集共享科技有限公司
150-500人,"年底双薪,绩效奖金,带薪年假,定期体检",1-3年,本科,数据分析师/BI,10k-15k,老爸评测,杭州老爸评测科技有限公司
150-500人,"海量大数据,世界级产品,AI,智能供应链",3-5年,本科,高级数据分析师,20k-30k,Club Factory,杭州嘉云数据科技有限公司
150-500人,,3-5年,本科,资深数据分析师 (MJ000088),15k-25k,政采云,政采云有限公司
500-2000人,"节日礼物,出国旅游,自主晋升计划,买手战略",3-5年,本科,资深数据分析师,15k-20k,蘑菇街,杭州卷瓜网络有限公司
500-2000人,"绩效奖金,股票期权,五险一金,午餐补助",3-5年,不限,资深数据分析/数据分析专家G00796,20k-40k,云集,云集共享科技有限公司
150-500人,"带薪年假,扁平管理,技能培训,节日礼物",1-3年,本科,高级数据分析师,12k-20k,古茗茶饮,浙江古茗科技有限公司
2000人以上,"行业爆炸,扁平管理,“家”文化,牛人团队",3-5年,本科,数据分析专家（智能化）,13k-25k,传化智联,传化物流集团有限公司
500-2000人,"节日礼物,技能培训,绩效奖金,年度旅游",不限,硕士,数据分析实习,4k-5k,如涵控股,杭州如涵控股股份有限公司
2000人以上,"大数据软件,技能培训,节日礼物,年底双薪",5-10年,本科,数据分析工程师,15k-25k,东方国信,北京东方国信科技股份有限公司
50-150人,"定期体检,带薪年假,绩效奖金,股票期权",3-5年,本科,高级数据分析师,18k-30k,雅乐科技,杭州雅乐互动科技有限公司
150-500人,"节日礼物,带薪年假,年度旅游,定期体检",1年以下,本科,数据分析实习生,3k-5k,保险师 · 微易信息科技,杭州微易信息科技有限公司
500-2000人,"扁平管理,弹性工作,期权",不限,不限,高级/资深药学数据分析师（Insight）,10k-20k,丁香园,观澜网络（杭州）有限公司
50-150人,"带薪年假,定期体检,绩效奖金,节日礼物",5-10年,本科,高级数据分析工程师,18k-36k,云栖城市大脑科技,云栖城市大脑科技（杭州）有限公司
500-2000人,"扁平管理,弹性工作,期权",3-5年,不限,ECD-高级数据分析师,15k-25k,丁香园,观澜网络（杭州）有限公司
500-2000人,"包午餐晚餐,奖金多多多,零食下午茶,全员出国游",1-3年,本科,高级数据分析师,8k-16k,兑吧,杭州兑吧网络科技有限公司
15-50人,"节日礼物,技能培训,岗位晋升,年度旅游",1-3年,本科,数据分析师,5k-6k,真气环保,杭州真气环保科技有限公司
150-500人,"节日礼物,带薪年假,年度旅游,定期体检",5-10年,本科,高级数据分析师,15k-30k,保险师 · 微易信息科技,杭州微易信息科技有限公司
50-150人,"定期体检,帅哥多,领导好,美女多",1-3年,硕士,商业数据分析师,9k-15k,微链,南京有链网络科技有限公司
150-500人,"股票期权,带薪年假,弹性工作,交通补助",1-3年,本科,电商数据分析,10k-15k,霖梓控股,浙江霖梓控股有限公司
500-2000人,"绩效奖金,股票期权,专项奖金,五险一金",1-3年,本科,IT数据分析专员,6k-8k,杭州悠可,杭州悠可化妆品有限公司
50-150人,,3-5年,本科,数据分析高级专家,20k-30k,大箴（杭州）科技有限公司,大箴（杭州）科技有限公司
150-500人,"扁平管理,岗位晋升,五险一金,技能培训",3-5年,大专,数据分析产品经理,20k-40k,广通软件,北京广通信达软件股份有限公司杭州分公司
